background,src/media/images/background.png
agentP,src/media/images/warriors/agentP.png
bb8,src/media/images/warriors/bb8.png
cyborg,src/media/images/warriors/cyborg.png
gary,src/media/images/warriors/gary.png
theFlea,src/media/images/warriors/theFlea.png
turret,src/media/images/warriors/turret.png
toph,src/media/images/warriors/toph.png
agentPcursor,src/media/cursors/agentP.png
bb8cursor,src/media/cursors/bb8.png
cyborgcursor,src/media/cursors/cyborg.png
garycursor,src/media/cursors/gary.png
theFleacursor,src/media/cursors/theFlea.png
tophcursor,src/media/cursors/toph.png
turretcursor,src/media/cursors/turret.png
doof,src/media/images/enemies/doof.png
alien,src/media/images/enemies/alien.png
azula,src/media/images/enemies/azula.png
eustace,src/media/images/enemies/eustace.png
skeleton,src/media/images/enemies/skeleton.png
nuke,src/media/images/items/nuke.png
nukecursor,src/media/cursors/nuke.png
cure,src/media/images/items/cure.png
curecursor,src/media/cursors/cure.png
poison,src/media/images/items/poison.png
poisoncursor,src/media/cursors/poison.png
shield,src/media/images/items/shield.png
shieldcursor,src/media/cursors/shield.png
barricade,src/media/images/items/barricade.png
barricadecursor,src/media/cursors/barricade.png
tank,src/media/images/items/tank.png
tankcursor,src/media/cursors/tank.png
rock,src/media/images/items/rock.png
rockcursor,src/media/cursors/rock.png
explosionBlast,src/media/images/blasts/explosion_blast.gif
energyBlastHit,src/media/images/blasts/energy_blast_hit.gif
energyBlastLeft,src/media/images/blasts/energy_blast_left.gif
energyBlastRight,src/media/images/blasts/energy_blast_right.gif
